name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5442,5357,5893.685999999999,5357.0,0.0,193.55841521634247,True,False,True
Telegraph Avenue,secondary,multilane,4,25,7600.0,non_fhsz,1.0,7600.0,6041.43,0.794925,E,8,3533.0,catchment_based,4518,4963,4892.993999999999,4963.0,0.0,104.12158095841801,False,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,1834.83,1.63096,F,2,1073.0,catchment_based,5944,6176,6437.352,6176.0,0.0,234.15915452516978,True,False,True
Telegraph Avenue,secondary,multilane,4,25,7600.0,non_fhsz,1.0,7600.0,1058.49,0.139275,B,1,619.0,catchment_based,3862,4777,4182.545999999999,4777.0,0.0,104.43119742888476,False,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5256,5559,5692.248,5559.0,0.0,107.64301891078597,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5442,5357,5893.685999999999,5357.0,0.0,193.55841521634247,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5707,5627,6180.680999999999,5627.0,0.0,108.37324572829169,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5256,5559,5692.248,5559.0,0.0,107.64301891078597,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4564,2615,4942.812,2615.0,0.0,108.2028229849042,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5707,5627,6180.680999999999,5627.0,0.0,108.37324572829169,True,False,True
Stuart Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4564,2615,4942.812,2615.0,0.0,108.2028229849042,True,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4564,2615,4942.812,2615.0,0.0,15.662185368324597,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5220,2801,5653.259999999999,2801.0,0.0,74.77635374874897,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,5051,5441,5470.232999999999,5441.0,0.0,152.69687577640482,False,False,True
College Avenue,tertiary,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,771.21,0.68552,E,1,451.0,catchment_based,4564,2615,4942.812,2615.0,0.0,15.662185368324597,False,False,True
Tyler Street,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,805.41,0.71592,E,1,471.0,catchment_based,4951,2210,5361.932999999999,2210.0,0.0,226.49971202906409,True,False,True
