name,highway,road_type,lane_count,speed_limit,capacity_vph,fhsz_zone,hazard_degradation,effective_capacity_vph,baseline_demand_vph,vc_ratio,los,connectivity_score,catchment_units,demand_source,catchment_hu,catchment_employees,resident_demand_vph,employee_demand_vph,student_demand_vph,length_meters,lane_count_estimated,speed_estimated,aadt_estimated
Avenida la Posta,residential,two_lane,1,25,1125.0,non_fhsz,1.0,1125.0,3714.75,3.302,F,6,1651.0,catchment_based,925,869,1318.125,869.0,0.0,334.0550930254405,True,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,1453,1509,2070.5249999999996,1509.0,0.0,31.335870473830227,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,69.43505500773813,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,15.38499782907689,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,69.43505500773813,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,15.38499782907689,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,68.9027854644634,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2089,1627,2976.825,1627.0,0.0,68.9027854644634,False,True,True
Stafford Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2563,1804,3652.2749999999996,1804.0,0.0,78.18450585755048,False,True,True
Cambridge Avenue,residential,two_lane,2,25,1125.0,non_fhsz,1.0,1125.0,1887.75,1.678,F,1,839.0,catchment_based,2615,1730,3726.3749999999995,1730.0,0.0,101.24232554721854,False,True,True
